group,PICP_90,MPIW_90,PICP_50,MPIW_50
full_period,0.5698630136986301,0.017938718580342742,0.24383561643835616,0.007372632569807566
training_period,0.6039215686274509,0.019817367068905637,0.25882352941176473,0.008128852425757534
validation_period,0.4909090909090909,0.013583669811401489,0.20909090909090908,0.00561957744919628
peak_days,0.40540540540540543,0.028800359233252006,0.13513513513513514,0.011660378225572783
normal_days,0.5884146341463414,0.016713472531081637,0.25609756097560976,0.006888953944004784
