metric,value
top_1pct_contribution,0.14515845206528682
top_5pct_contribution,0.23969985354722548
top_10pct_contribution,0.3092572798513504
top_20pct_contribution,0.4223719642404093
area_for_50pct_contribution,0.2802547770700637
area_for_70pct_contribution,0.5248407643312102
area_for_80pct_contribution,0.6636942675159235
area_for_90pct_contribution,0.8152866242038217
