season,NSE,R2,RMSE,MAE,Bias,PBIAS,n_days
Autumn,0.799526997847875,0.8112261385536635,0.009812141539084062,0.007608165956043957,-0.001220789032967033,-1.7999319831494167,91
Spring,0.7754120267622621,0.7797393747451704,0.017703454588788484,0.011658611,0.00012312336956521816,0.15466070453302186,92
Summer,0.5474027988684321,0.5566305139926017,0.014956583000523048,0.010962144717391303,0.0007460696521739125,0.8403331047991129,92
Winter,0.5838194513912506,0.6527973205427637,0.01193222253793422,0.008672274844444444,-0.001166277377777778,-1.8577869734509989,90
