cumulative_area_fraction,cumulative_contribution_fraction
0.0012738853503184713,0.03928513881894778
0.0025477707006369425,0.05719883462325686
0.003821656050955414,0.07466844534275481
0.005095541401273885,0.09203776663057095
0.006369426751592357,0.10657989320613201
0.007643312101910828,0.12044118367538949
0.008917197452229299,0.13409520182125448
0.01019108280254777,0.14515845206528685
0.011464968152866241,0.1546920732622296
0.012738853503184714,0.1638493122220338
0.014012738853503185,0.16681010052016232
0.015286624203821656,0.16975487732437253
0.016560509554140127,0.17268914233070481
0.017834394904458598,0.17555158804300874
0.01910828025477707,0.17840421724125324
0.02038216560509554,0.18123628291282862
0.02165605095541401,0.1840191509273345
0.022929936305732482,0.18678958104870708
0.024203821656050957,0.18955477387771089
0.025477707006369428,0.19228342276118082
0.0267515923566879,0.19499271104468638
0.02802547770700637,0.19768577550339617
0.02929936305732484,0.20037525435448644
0.030573248407643312,0.20305903359295047
0.03184713375796178,0.20573531855339075
0.033121019108280254,0.20839902234399627
0.034394904458598725,0.2110603808707938
0.035668789808917196,0.21366279098527025
0.03694267515923567,0.21623486086796911
0.03821656050955414,0.2186133048974143
0.03949044585987261,0.2209670232378677
0.04076433121019108,0.22328643951208726
0.04203821656050955,0.22548253782264033
0.04331210191082802,0.22757190989879125
0.044585987261146494,0.22962949386874396
0.045859872611464965,0.23168661620059075
0.04713375796178344,0.23372022715998958
0.048407643312101914,0.23571496241199363
0.049681528662420385,0.23770916223683936
0.050955414012738856,0.2396998535472255
0.05222929936305733,0.24168294737868934
0.0535031847133758,0.2436580334518112
0.05477707006369427,0.24563049006582646
0.05605095541401274,0.24759311614171425
0.05732484076433121,0.24954688431615354
0.05859872611464968,0.25147689065771617
0.05987261146496815,0.2533946648649428
0.061146496815286625,0.2553112900491801
0.062420382165605096,0.25721608287530456
0.06369426751592357,0.25911599577891287
0.06496815286624204,0.260984050410272
0.06624203821656051,0.26284357826995863
0.06751592356687898,0.26468830804617477
0.06878980891719745,0.26652780448591334
0.07006369426751592,0.26836550720573255
0.07133757961783439,0.27020282191225165
0.07261146496815286,0.2719982088671004
0.07388535031847134,0.2737921019645459
0.0751592356687898,0.27557842853173675
0.07643312101910828,0.2773594961742101
0.07770700636942675,0.27913390514742975
0.07898089171974522,0.280900847262168
0.08025477707006369,0.2826357366004734
0.08152866242038216,0.28436196783600337
0.08280254777070063,0.2860747259032951
0.0840764331210191,0.28777154532068516
0.08535031847133757,0.2894615805394095
0.08662420382165605,0.29115010882828946
0.08789808917197452,0.29283154562547664
0.08917197452229299,0.2945012293660449
0.09044585987261146,0.29616627190192973
0.09171974522292993,0.29782904949470784
0.0929936305732484,0.29948170312474454
0.09426751592356689,0.301130977875393
0.09554140127388536,0.3027725567747042
0.09681528662420383,0.304397563108446
0.0980891719745223,0.3060207437867982
0.09936305732484077,0.30764181768108806
0.10063694267515924,0.3092572798513504
0.10191082802547771,0.3108705344228606
0.10318471337579618,0.312480307311002
0.10445859872611465,0.31408380248717654
0.10573248407643313,0.31567488787232706
0.1070063694267516,0.3172640656006872
0.10828025477707007,0.31883740437708447
0.10955414012738854,0.3203968291688457
0.11082802547770701,0.32195621639364447
0.11210191082802548,0.3235133541914556
0.11337579617834395,0.325062036473144
0.11464968152866242,0.3266098533788081
0.1159235668789809,0.32815541649038543
0.11719745222929936,0.32969689745394654
0.11847133757961784,0.33123345709429514
0.1197452229299363,0.33275706843001834
0.12101910828025478,0.33427970260893114
0.12229299363057325,0.3357995567836195
0.12356687898089172,0.33731815737118587
0.12484076433121019,0.3388361997399098
0.12611464968152866,0.3403443043255108
0.12738853503184713,0.34185037918039846
0.1286624203821656,0.3433560134307836
0.12993630573248408,0.3448488177967224
0.13121019108280255,0.34634006891400454
0.13248407643312102,0.34782558248330725
0.1337579617834395,0.34930806674555503
0.13503184713375796,0.3507901411263635
0.13630573248407643,0.35227183632722736
0.1375796178343949,0.353747869083112
0.13885350318471337,0.3552187774997971
0.14012738853503184,0.35668493630488735
0.14140127388535031,0.35814990933091173
0.14267515923566879,0.3596143878744562
0.14394904458598726,0.36107776469674885
0.14522292993630573,0.3625348741471854
0.1464968152866242,0.3639915682633164
0.14777070063694267,0.36544614959164945
0.14904458598726114,0.36689993179171204
0.1503184713375796,0.3683528479638656
0.15159235668789808,0.3698046027678618
0.15286624203821655,0.3712561626069402
0.15414012738853503,0.37270404438442506
0.1554140127388535,0.3741452349366833
0.15668789808917197,0.3755863650386836
0.15796178343949044,0.3770252019838084
0.1592356687898089,0.37846357246996004
0.16050955414012738,0.37989790629390324
0.16178343949044585,0.3813222304820247
0.16305732484076432,0.3827463710082881
0.1643312101910828,0.3841693630152065
0.16560509554140126,0.3855883415887765
0.16687898089171974,0.3869963549720895
0.1681528662420382,0.3884028708521289
0.16942675159235668,0.38980517666719416
0.17070063694267515,0.39120241161598385
0.17197452229299362,0.39259719279568245
0.1732484076433121,0.39398700404248166
0.17452229299363056,0.3953729913523596
0.17579617834394903,0.39674475905524603
0.1770700636942675,0.39811272806526876
0.17834394904458598,0.39948025954854804
0.17961783439490445,0.40084492135571875
0.18089171974522292,0.4022081624595398
0.1821656050955414,0.4035707475776868
0.18343949044585986,0.404932787388165
0.18471337579617833,0.40628631974770957
0.1859872611464968,0.4076393217414678
0.18726114649681527,0.40898897852736477
0.18853503184713377,0.4103381649213027
0.18980891719745224,0.4116824518180735
0.1910828025477707,0.41302551023408085
0.19235668789808918,0.414367727491565
0.19363057324840766,0.41570632909390254
0.19490445859872613,0.4170431526907344
0.1961783439490446,0.4183778253934953
0.19745222929936307,0.4197114372778202
0.19872611464968154,0.4210432209134338
0.2,0.42237196424040946
0.20127388535031848,0.42369750866432887
0.20254777070063695,0.4250179749972709
0.20382165605095542,0.4263357834793491
0.2050955414012739,0.42765117951209697
0.20636942675159237,0.4289556799335712
0.20764331210191084,0.4302586572154812
0.2089171974522293,0.4315607561168823
0.21019108280254778,0.4328565479560807
0.21146496815286625,0.4341523382715584
0.21273885350318472,0.4354420379338
0.2140127388535032,0.43673157578674004
0.21528662420382166,0.43801974472252014
0.21656050955414013,0.4393054255933537
0.2178343949044586,0.4405908203561143
0.21910828025477708,0.44187472887459345
0.22038216560509555,0.44315853920948817
0.22165605095541402,0.4444359986495386
0.2229299363057325,0.4457128031082147
0.22420382165605096,0.4469767022888211
0.22547770700636943,0.4482398103246553
0.2267515923566879,0.4495014698695604
0.22802547770700637,0.45075749746753835
0.22929936305732485,0.4520125006995454
0.23057324840764332,0.45326429703627236
0.2318471337579618,0.45451464987379503
0.23312101910828026,0.45576104521463573
0.23439490445859873,0.4570070320110809
0.2356687898089172,0.45824615156941895
0.23694267515923567,0.45948311411900905
0.23821656050955414,0.46071750918282056
0.2394904458598726,0.4619493563642367
0.24076433121019108,0.4631791018281747
0.24203821656050956,0.4644078030557191
0.24331210191082803,0.46563418097243076
0.2445859872611465,0.4668598698671502
0.24585987261146497,0.46808459058758417
0.24713375796178344,0.46930911472686176
0.2484076433121019,0.4705335862761153
0.24968152866242038,0.4717566926528052
0.25095541401273885,0.4729764754232504
0.2522292993630573,0.47419557742965895
0.2535031847133758,0.47541131364706013
0.25477707006369427,0.47662651625794583
0.25605095541401274,0.47783631790487996
0.2573248407643312,0.4790378305303252
0.2585987261146497,0.4802378549951304
0.25987261146496815,0.48143703397631754
0.2611464968152866,0.48263224343620176
0.2624203821656051,0.48382732024561753
0.26369426751592356,0.4850193243713928
0.26496815286624203,0.4862097366254906
0.2662420382165605,0.48739995651056867
0.267515923566879,0.48858855506683857
0.26878980891719745,0.4897747068227542
0.2700636942675159,0.4909592689002072
0.2713375796178344,0.49214353168366465
0.27261146496815286,0.4933276933127614
0.27388535031847133,0.4945086459556459
0.2751592356687898,0.49568292524011104
0.2764331210191083,0.4968548137243878
0.27770700636942675,0.4980264326063362
0.2789808917197452,0.49919773663019196
0.2802547770700637,0.5003682376797829
0.28152866242038216,0.5015383816524738
0.28280254777070063,0.5027074388309103
0.2840764331210191,0.5038739974101837
0.28535031847133757,0.505038899162472
0.28662420382165604,0.506201164920271
0.2878980891719745,0.507360033762882
0.289171974522293,0.5085166325260957
0.29044585987261146,0.5096689563654281
0.2917197452229299,0.5108193540238178
0.2929936305732484,0.5119694816450138
0.29426751592356687,0.5131184230491931
0.29554140127388534,0.5142664569332397
0.2968152866242038,0.5154105046688531
0.2980891719745223,0.5165538292710186
0.29936305732484075,0.5176969497709568
0.3006369426751592,0.5188399244176354
0.3019108280254777,0.5199818591811114
0.30318471337579617,0.5211235901291864
0.30445859872611464,0.5222647867060511
0.3057324840764331,0.523405625911527
0.3070063694267516,0.5245426315200806
0.30828025477707005,0.5256789792378276
0.3095541401273885,0.5268141386232674
0.310828025477707,0.5279490781609331
0.31210191082802546,0.5290835867058131
0.31337579617834393,0.530214571039101
0.3146496815286624,0.5313452547390278
0.3159235668789809,0.5324753243439379
0.31719745222929935,0.5336043243712928
0.3184713375796178,0.534732410613403
0.3197452229299363,0.5358567507645217
0.32101910828025476,0.5369808131365031
0.32229299363057323,0.5381043464051638
0.3235668789808917,0.5392277560852617
0.3248407643312102,0.5403511173742486
0.32611464968152865,0.5414734459778473
0.3273885350318471,0.5425944374483784
0.3286624203821656,0.5437120165595736
0.32993630573248406,0.5448237799610814
0.33121019108280253,0.5459352790015026
0.332484076433121,0.547046243397324
0.33375796178343947,0.5481565123101816
0.33503184713375794,0.5492644076897003
0.3363057324840764,0.5503702314870392
0.3375796178343949,0.5514755484847526
0.33885350318471336,0.5525783592382162
0.3401273885350318,0.553681041193197
0.3414012738853503,0.554783202256829
0.34267515923566877,0.5558851654501017
0.34394904458598724,0.556983031686615
0.3452229299363057,0.5580807455023855
0.3464968152866242,0.5591731502234553
0.34777070063694265,0.5602651633987227
0.3490445859872611,0.5613542238569501
0.3503184713375796,0.5624400170489612
0.35159235668789807,0.5635254776967659
0.35286624203821654,0.5646108205044796
0.354140127388535,0.5656958966293822
0.3554140127388535,0.5667775278972074
0.35668789808917195,0.5678589734107532
0.3579617834394904,0.5689390302842287
0.3592356687898089,0.5700180164289983
0.36050955414012736,0.5710951344615541
0.36178343949044584,0.5721698800722376
0.3630573248407643,0.5732422372940187
0.3643312101910828,0.5743127096865724
0.36560509554140125,0.5753797661054947
0.3668789808917197,0.5764457607502913
