idx,label,delta_nse_neg,delta_nse_pos,delta_rmse_neg,delta_rmse_pos,delta_peak_neg,delta_peak_pos,importance
12,Hyd dis-P history,-0.059999999753598265,0.04799999980287861,0.0004462732974360911,-0.00030681289198731263,0.0006122493647829756,-0.00036734961886978533,0.0002435047790640965
0,Agri dis-P frac,-0.035641909287991845,0.028513527430393478,0.0002651005408365233,-0.00018225662182510977,0.00036369560684734454,-0.00021821736410840674,0.00014464958803728223
8,BGC ads-P release,-0.03161506044229601,0.025292048353836805,0.0002351492888360993,-0.00016166513607481826,0.00032260501254769244,-0.00019356300752861546,0.00012830697232857347
1,Soil dis-P leak,-0.027695715569769505,0.022156572455815603,0.00020599763938218833,-0.00014162337707525447,0.00028261140557395473,-0.00016956684334437283,0.0001124006521422416
10,BGC ads-P leak,-0.022984637747220548,0.018387710197776436,0.0001709571686658384,-0.00011753305345776392,0.00023453883197155595,-0.00014072329918293357,9.32811526581645e-05
5,BGC dis-P release,-0.022248912136965462,0.017799129709572366,0.0001654849237417536,-0.00011377088507245561,0.00022703137298183768,-0.0001362188237891026,9.029527427628636e-05
16,Hyd ads-P leak,-0.020999999913759393,0.016799999931007514,0.0001561956541026319,-0.0001073845121955594,0.00021428727767404138,-0.00012857236660442482,8.522667267243377e-05
3,Soil ads-P leak,-0.020999999913759393,0.016799999931007514,0.0001561956541026319,-0.0001073845121955594,0.00021428727767404138,-0.00012857236660442482,8.522667267243377e-05
15,Hyd ads-P history,-0.020999999913759393,0.016799999931007514,0.0001561956541026319,-0.0001073845121955594,0.00021428727767404138,-0.00012857236660442482,8.522667267243377e-05
4,Deep ads-P leak,-0.020999999913759393,0.016799999931007514,0.0001561956541026319,-0.0001073845121955594,0.00021428727767404138,-0.00012857236660442482,8.522667267243377e-05
13,Hyd dis-P leak,-0.020999999913759393,0.016799999931007514,0.0001561956541026319,-0.0001073845121955594,0.00021428727767404138,-0.00012857236660442482,8.522667267243377e-05
7,BGC dis-P leak,-0.009277498403501281,0.007421998722801026,6.900499702485897e-05,-4.7440935454590546e-05,9.466904212742241e-05,-5.680142527645345e-05,3.765192013815977e-05
