event_type,NSE,R2,RMSE,MAE,Bias,PBIAS,n_days
all_days,0.7516985040493706,0.7524498581929904,0.01394604060214999,0.009736869490410957,-0.00037285207671232894,-0.4982463498571981,365
rainfall_days,0.787468061717345,0.7875498912298865,0.015124461572944626,0.010649541163265308,-0.00028947865986394525,-0.32902932807544,147
non_rainfall_days,0.5611774776986241,0.5677949516971552,0.013091674822757353,0.009121444096330275,-0.0004290717660550463,-0.6504251790556538,218
high_runoff_days,0.7977848713995856,0.7983747053006106,0.017280736184665763,0.013222096282608698,0.0007041236521739137,0.7634575839716256,92
peak_TP_days,0.16780641081345582,0.4996383848138305,0.027407323801007293,0.020408312243243243,-0.014817828459459456,-10.470963579065987,37
low_runoff_high_TP_days,-12.281594155951638,0.11977030881950095,0.02076636425383303,0.01380455311111111,-0.011720666444444442,-13.103850683213535,9
