landuse,cell_count,positive_source_cell_count,source_sum,source_mean_positive
1,964,903,70.83999999999949,0.07844961240310021
2,2725,0,0.0,0.0
4,2,0,0.0,0.0
8,19,15,18.699999999999992,1.2466666666666661
