model,period,NSE,R2,RMSE,MAE,Bias,PBIAS,lambda_api,k_release
Simple empirical-physical model,train,0.4217751339322672,0.42558643161561427,0.021669346983571078,0.01430022820733934,-3.374207231703907e-18,-4.202514623837327e-15,0.7,0.03
Simple empirical-physical model,validation,0.2140451961470563,0.6749122761921876,0.019573812350816962,0.017313268805492946,0.012735389617483694,20.480889735716392,0.7,0.03
Simple empirical-physical model,full,0.43378016480385084,0.47175584745019394,0.02105977838550621,0.015208267839659608,0.0038380626244471383,5.128845492872352,0.7,0.03
