model,period,NSE,R2,RMSE,MAE,Bias,PBIAS
RF,train,0.8758368062279481,0.893997320857158,0.010041391022783216,0.006697154653918767,0.00021238732391282486,0.26452460485380336
RF,validation,0.4288010460125893,0.6593690418724696,0.016686695304240953,0.013152717508675436,0.010016070648135629,16.107715954601726
RF,full,0.802936654860377,0.8408746519478995,0.01242407837941271,0.008642666747133106,0.0031669220243635333,4.231992893361087
GBRT,train,0.8588746401205368,0.874562030818167,0.01070532787147294,0.0070032515851610145,-3.025901969076407e-17,-3.7687066626670225e-14
GBRT,validation,0.26876027876946396,0.4966754457553015,0.018880196993670134,0.015304902504472957,0.010539700083225063,16.949810075359466
GBRT,full,0.7606343446443772,0.7892526428998599,0.01369279719367429,0.0095051189855016,0.0031763479702869835,4.244588889048497
Ridge,train,0.5559430177319333,0.5560869152475768,0.018989642700404066,0.012052848555063351,-6.0953420959812515e-18,-7.591639320480333e-15
Ridge,validation,0.4927639392554375,0.5660813974096138,0.01572467559969523,0.012453211597432557,0.004611583109520783,7.4162886264212275
Ridge,full,0.5832335574550082,0.5891887374261469,0.018067897939338527,0.01217350591029791,0.0013897921699925605,1.857194632962093
