date,obs,rain,runoff,p05,p25,p50,p75,p95,width_50,width_90,cover_90,season,all_days,rainfall_days,non_rainfall_days,high_runoff_days,peak_TP_days,low_runoff_high_TP_days
2023-01-01,0.042,0.0,150.0,0.014438388095755397,0.018173165627106823,0.02014068267495141,0.02236815712303857,0.02579139035233564,0.004194991495931746,0.011353002256580244,0,Winter,True,False,True,False,False,False
2023-01-02,0.037,0.0,180.0,0.016329713871805974,0.019533422034474765,0.021976381566261985,0.024161445129605125,0.027737091760016264,0.00462802309513036,0.01140737788821029,0,Winter,True,False,True,False,False,False
2023-01-03,0.086,1.5,760.0,0.027494632590644295,0.030312454149161016,0.03358547481683525,0.03549137010521865,0.03990353929661026,0.005178915956057632,0.012408906705965964,0,Winter,True,True,False,False,False,True
2023-01-04,0.06,0.0,340.0,0.023266704255102192,0.026606356600740542,0.028619818051796357,0.031380085668061025,0.03466912227348186,0.004773729067320483,0.011402418018379667,0,Winter,True,False,True,False,False,False
2023-01-05,0.046,0.0,220.0,0.023160392531129625,0.02628891678654955,0.028341770951874276,0.0298673747779052,0.03405873453719356,0.0035784579913556505,0.010898342006063936,0,Winter,True,False,True,False,False,False
2023-01-06,0.045,0.0,110.0,0.022392551693797808,0.02601037973564298,0.0288666075711123,0.030531698212146186,0.035128282577164126,0.004521318476503205,0.012735730883366318,0,Winter,True,False,True,False,False,False
2023-01-07,0.043,0.0,60.0,0.0235309079810699,0.02667455770742032,0.028959903193445137,0.031001334011991025,0.03470122919300293,0.004326776304570706,0.011170321211933034,0,Winter,True,False,True,False,False,False
2023-01-08,0.05,2.4,430.0,0.03402887987903097,0.03684300824399585,0.03961654552708743,0.04246647699054754,0.04655323917964834,0.005623468746551695,0.01252435930061737,0,Winter,True,True,False,False,False,False
2023-01-09,0.14,35.7,7630.0,0.13282322555388912,0.14126428322003437,0.14645201190121998,0.1510520479304676,0.15916089449110826,0.009787764710433217,0.026337668937219144,1,Winter,True,True,False,True,True,False
2023-01-10,0.084,0.0,2140.0,0.06540553276599331,0.06937412192765591,0.07179281793371217,0.07495837968440494,0.07954280929833432,0.005584257756749034,0.014137276532341009,0,Winter,True,False,True,False,False,False
2023-01-11,0.071,0.7,1360.0,0.05255910548308707,0.05584848756287723,0.05843197778108042,0.06098690907416747,0.06507898195302568,0.0051384215112902365,0.012519876469938608,0,Winter,True,True,False,False,False,False
2023-01-12,0.075,9.2,2890.0,0.07624797515843214,0.08080744577501428,0.08452153623257821,0.08750002082985538,0.0918023896086669,0.006692575054841096,0.015554414450234769,0,Winter,True,True,False,False,False,False
2023-01-13,0.093,8.5,5470.0,0.08965016437788755,0.09629381222993422,0.10046156807839071,0.10382648223941862,0.10827044517069567,0.007532670009484405,0.018620280792808128,1,Winter,True,True,False,True,False,False
2023-01-14,0.068,0.0,2130.0,0.06162579545525642,0.0660328012567954,0.06862659717427322,0.07186298098189763,0.07630028452609218,0.005830179725102219,0.01467448907083576,1,Winter,True,False,True,False,False,False
2023-01-15,0.072,0.0,1460.0,0.05716658012467434,0.06212327826236966,0.06483617522476567,0.0677561002476373,0.07212780213893247,0.0056328219852676414,0.014961222014258126,1,Winter,True,False,True,False,False,False
2023-01-16,0.064,1.6,1250.0,0.06432217775839004,0.06849911298928077,0.07123985974973226,0.07430603501196972,0.07909605003517109,0.005806922022688954,0.01477387227678105,0,Winter,True,True,False,False,False,False
2023-01-17,0.068,0.0,1150.0,0.06303295757553092,0.06731652609523274,0.07011697708744535,0.07264561141246305,0.07769085949482085,0.005329085317230309,0.014657901919289937,1,Winter,True,False,True,False,False,False
2023-01-18,0.069,0.0,1000.0,0.06656497356432413,0.06967931100900557,0.07208650862642679,0.07490520664385428,0.07989675071319212,0.0052258956348487096,0.01333177714886799,1,Winter,True,False,True,False,False,False
2023-01-19,0.068,0.0,570.0,0.06540810493798525,0.07018366989485714,0.07251035417769963,0.07538117007601254,0.0804537278372069,0.005197500181155404,0.01504562289922165,1,Winter,True,False,True,False,False,False
2023-01-20,0.064,0.0,370.0,0.06640819651799715,0.07037981414837943,0.07359257885483173,0.07601663699180307,0.08141768783197255,0.005636822843423636,0.015009491313975401,0,Winter,True,False,True,False,False,False
2023-01-21,0.066,0.0,340.0,0.06802064288386601,0.07121954042855042,0.07379343639718484,0.07688546219100413,0.080967975268453,0.005665921762453716,0.01294733238458698,0,Winter,True,False,True,False,False,False
2023-01-22,0.073,0.0,370.0,0.06763495082911532,0.07117602201268156,0.07342041803439771,0.0759021207068643,0.08117071738129379,0.004726098694182751,0.013535766552178474,1,Winter,True,False,True,False,False,False
2023-01-23,0.081,0.0,360.0,0.06630662279833088,0.0708190753847451,0.07297525120335875,0.07569494842150377,0.08062414029550553,0.004875873036758668,0.01431751749717465,0,Winter,True,False,True,False,False,False
2023-01-24,0.063,0.0,260.0,0.06581776645344961,0.06869032422996293,0.07113855412926781,0.07450349646925301,0.08079016714042433,0.005813172239290079,0.014972400686974724,0,Winter,True,False,True,False,False,False
2023-01-25,0.077,0.0,290.0,0.06372884218546684,0.06832629173354139,0.07132235634337741,0.07359489241809278,0.07847614952269023,0.005268600684551386,0.01474730733722339,1,Winter,True,False,True,False,False,False
