member,NSE,R2,RMSE,MAE,Bias,PBIAS
member_001,0.711791587511728,0.7166798673577254,0.01502500356951624,0.010678680629114274,0.000910941591754091,1.217301314308527
member_002,0.685897101352342,0.7081006592314262,0.01568545890847011,0.011026646922444615,-0.004127165969087704,-5.51517748669897
member_003,0.7085275193990692,0.7171719476816821,0.015109845921709738,0.011065635311727749,0.0021694630510798586,2.899077446159916
member_004,0.696457235570509,0.7011351232113499,0.015419532253788353,0.011280579850090745,0.0016641427160521277,2.22381229903714
member_005,0.7228525465981185,0.7295956290264618,0.014733865581385881,0.010612597985967458,-0.0014042696639516925,-1.8765410681055468
member_006,0.689932970221719,0.7317322472676332,0.015584362865862744,0.01075933565491695,-0.0056793918380031,-7.58943406630686
member_007,0.70645192783287,0.7128605875099654,0.015163549506712738,0.010783492146902132,-0.0013206222576800245,-1.7647621148612114
member_008,0.7047871008761011,0.7054169542589801,0.015206487949110076,0.010757578083885248,-0.00018994599598602254,-0.2538269332023713
member_009,0.7112803940619822,0.7202639455978863,0.015038322543384776,0.010551408291476884,-0.0006147268844778735,-0.821466328016459
member_010,0.701194123819896,0.7292541417186733,0.015298745644873463,0.01118429792246949,0.0038656191155775396,5.165669536449259
member_011,0.6615656324759753,0.7239699205012643,0.016281652694295646,0.012368780366894263,0.006720868828343419,8.981171276068164
member_012,0.7015397736792268,0.7185687326245044,0.015289894514691059,0.01060125524619778,-0.0030483124814112395,-4.07349365056404
member_013,0.7131402440329446,0.7213765776018447,0.014989807979489702,0.011014353541580127,0.002008123023855977,2.6834769850897158
member_014,0.7057323104320414,0.7264125974955798,0.01518212444517066,0.010926477740337929,0.002993648392103046,4.000445424022742
member_015,0.7073945196997977,0.7100885869885062,0.015139184620515538,0.010684738460563958,-0.0009357385153058967,-1.2504377172389245
member_016,0.6417634156866175,0.7299490965262577,0.016751211610843048,0.012948255213134283,0.007585232493296002,10.136229992139342
member_017,0.6907185591583186,0.7041730346814131,0.015564607996109444,0.010946304019428643,-0.0011202510548106797,-1.4970038625096402
member_018,0.7074602363216971,0.7197340359661413,0.015137484461075507,0.010761103392625555,-0.0015881594064581963,-2.1222749628660043
member_019,0.7143274681764522,0.7242171743113067,0.014958756719975616,0.010551591096093042,-0.00017606502832641564,-0.23527764274415816
member_020,0.7273697835706343,0.7373786178161409,0.014613298360504772,0.010313862816668235,-0.0011980947983784907,-1.6010273171565244
member_021,0.6648890652106861,0.7367316229792465,0.016201512374968755,0.011819049466392149,-0.007096854911166259,-9.483605632919346
member_022,0.6745518797462021,0.7019864064193072,0.015966221168997832,0.011220649522469603,0.00016591525989386385,0.22171439504011897
member_023,0.7139878057477294,0.71970713360737,0.014967647001108092,0.010683568256078725,0.002024566304095376,2.7054503221600106
member_024,0.6979765268044458,0.7089537684635135,0.015380894950564586,0.01120297400936475,0.00245229252015387,3.2770255907451484
member_025,0.7061893605957263,0.716360322938422,0.01517032959106967,0.010812782065495852,-0.0009961956533785083,-1.3312272588531238
member_026,0.7297614724195549,0.736827759667038,0.014549058502404361,0.010195900351660538,-0.002134658516605787,-2.8525677621772125
member_027,0.7031752133165097,0.7088348691191761,0.015247945794643086,0.010493372410395399,-0.00166480386653287,-2.224695801729792
member_028,0.6775053146703167,0.6889003257570367,0.015893609493626278,0.011359191016749837,-0.0008464612136954806,-1.1311354726471377
member_029,0.7017435308649258,0.718778311212053,0.015284674459380766,0.011188786660187824,0.0034291736632643534,4.5824426561157034
member_030,0.7176578103321147,0.721008294978255,0.014871307249415646,0.010739250430839453,0.0006895326578353386,0.9214301095038785
member_031,0.7459609964975651,0.7510733282413619,0.0141062461366319,0.009952125560473656,-0.001940780568970823,-2.593486518541131
member_032,0.7018007239221489,0.7077629815027224,0.01528320890999107,0.010709652628377316,-0.002158041820508172,-2.883815129550612
member_033,0.7088158331699701,0.7140903956898862,0.01510237102309986,0.010935260523294023,-8.455034773775197e-05,-0.11298556390231508
member_034,0.7152037882937214,0.721249373495705,0.014935795590782843,0.010485574641968433,0.0003356716090507919,0.44856168010373637
member_035,0.722874456504651,0.7338740454562631,0.014733283176615188,0.010514024694369024,0.0008454918565852348,1.129840110030019
member_036,0.720176482789604,0.7368587076190013,0.014804827883650264,0.010470751712118195,-0.0015179837612287514,-2.0284984727556346
member_037,0.6994757390351767,0.7091699987041252,0.015342672899953223,0.011057943456767718,0.0010623915878610005,1.4196856175194075
