model,cal_nse,val_nse,cal_r2,val_r2,cal_rmse,val_rmse,cal_pbias,val_pbias,all_nse,all_r2,all_rmse,all_pbias
Differentiable model,0.7154125841164707,-1.0839808848797605,0.7180992111309447,0.5688307607531611,0.015202159605899454,0.031873040876728036,-0.27429735404655364,35.67543926251213,0.4030099950636662,0.5398843998199022,0.021624435903608213,8.72827270003785
Best machine-learning model,0.8749374610591575,0.4481062274221109,0.8862653388311295,0.6298142149584808,0.01007769156533378,0.016402286027429266,-1.1523023968586781e-15,14.714820486427014,0.8059060567294055,0.8316283209316219,0.012330118456445953,3.6849004952464215
Non-differentiable daily model,0.5448450720628126,0.413689734757443,0.5578171004383774,0.563216745629793,0.019225474455180067,0.016905981256393792,-0.45351379113863843,13.19785675692063,0.5603644649317645,0.5728280167012093,0.018556995032586707,2.9650764757107937
Stop-gradient source-generation ablation,0.7668712314796848,-2.4825378444398516,0.7676032897145544,0.5712821174646141,0.013759269479373105,0.041202593770069615,0.34829617213303865,39.38842341303824,0.177974081211972,0.49426312477955475,0.025374880919160972,10.124765027950264
