model_name,calibration_nse,calibration_r2,calibration_rmse,calibration_pbias,internal_validation_nse,internal_validation_r2,internal_validation_rmse,internal_validation_pbias,validation_nse,validation_r2,validation_rmse,validation_pbias,all_nse,all_r2,all_rmse,all_pbias
GradientBoosting,0.8749374610591575,0.8862653388311295,0.01007769156533378,-1.1523023968586781e-15,0.07193054296242163,0.1885960365654478,0.029036506309789357,2.0931693896008907,0.4481062274221109,0.6298142149584808,0.016402286027429266,14.714820486427014,0.8059060567294055,0.8316283209316219,0.012330118456445953,3.6849004952464215
Random Forest,0.9275320173628605,0.9415726477726822,0.007671327566103706,-0.02724878621227213,0.06085039783302393,0.1828442574982476,0.0292093242590659,0.8007901607709489,0.25159387322829263,0.6950395549069759,0.019100524856528505,21.520187799289495,0.8071433608774995,0.8517237278819891,0.012290754791091868,5.368682466802009
ExtraTrees,0.9550027346210098,0.9600771685848918,0.006044919229669227,7.659421814413567e-15,-0.06598791358770595,0.13313125339414006,0.03111933163013544,5.006991808001313,0.06757926898891697,0.715860631218174,0.02131977389875851,24.827557182200664,0.7925274440319975,0.8332767370173496,0.012747986235398029,6.217342429752242
MLP,-1.003795853465748,0.1981435220905582,0.040338911819004196,-2.4255906479612683,-452.585014733653,0.0008330265961812519,0.6419237876971801,224.16041423464384,-43.41528213679957,0.2677991156473399,0.14714409788772467,209.49689854390678,-8.781698571224215,0.010455751697912947,0.08753231106705853,50.644257271507776
